Ticker,Sector,Target Allocation (%),Master Grade,Conviction Score (0-100),S.A.F.E. Score (1-10),Final Rating,MC DCF Model,Live WACC (%),Beta (3-Yr),Sharpe Ratio,Sortino Ratio,1-Yr Alpha vs RSP (%),3-Yr Alpha vs RSP (%),Profitable (TTM),Price vs 200-SMA,P1: Growth,P2: Profit/Eff,P3: Cash Flow,P4: Health,P5: Value/Yield,Rev Growth (%),Gross Margin (%),Operating Margin (%),ROA (%),ROE (%),ROIC (%),Passes Dual-Hurdle,ROIC-WACC Spread (%),EVA ($B),Asset Turnover,FCF Margin (%),FCF Yield (%),Accrual Quality,Current Ratio,Debt/Equity,Net Debt/EBITDA,P/E Ratio,PEG Ratio,EV/EBITDA,Div Yield (%),Crisis Value ($),Backtest Win Rate (%),Max Drawdown (%),NLP Sentiment (-1 to 1)
HOOD,Financial Services,0.0% (Skip),B (Hold),61.3,6.72,Buy,Mean: $25.18 (0% Win),14.08,2.38,1.46,2.32,-14.76,992.71,Yes,26.3%,10.0,5.8,7.3,7.0,3.5,32.3,83.87,46.81,4.94,20.6,9.0,✅ Pass (Sector Waiver),-5.07,-1.05,0.11,35.41,1.47,0.33,1.26,1.27,3.38,53.02,2.09,,0,6.9,77.0,-85.3,0.93
PLTR,Technology,0.0% (Skip),C (Avoid/Sell),59.9,7.52,Strong Buy,Mean: $19.34 (0% Win),13.57,1.84,1.5,2.58,-13.48,1020.84,Yes,17.1%,10.0,7.6,8.0,10.0,4.0,92.8,81.33,31.59,18.26,22.0,18.87,✅ Pass,5.3,0.39,0.48,46.94,0.49,-25.86,7.11,0.03,0.0,151.83,1.71,156.91,0,19.43,77.0,-79.14,0.36
ROKU,Communication Services,0.0% (Skip),C (Avoid/Sell),49.4,7.24,Buy,Mean: $66.82 (0% Win),14.14,1.93,0.63,0.87,41.08,56.45,Yes,27.3%,10.0,4.2,8.0,10.0,4.0,21.9,43.8,-0.12,1.99,3.32,-0.2,✅ Pass (Growth Waiver),-14.34,-0.38,0.95,10.1,2.1,-39.42,2.75,0.2,0.0,64.83,0.6,35.79,0,3209.22,65.0,-88.74,0.3
COIN,Financial Services,0.0% (Skip),C (Avoid/Sell),46.4,5.72,Hold,Mean: $52.82 (0% Win),13.64,2.38,0.71,1.29,-57.25,96.92,Yes,2.7%,0.0,5.1,10.0,10.0,3.5,-17.3,72.63,20.28,4.25,8.52,5.37,✅ Pass (Sector Waiver),-8.27,-1.86,0.25,33.79,4.73,-10.17,2.34,0.53,0.0,,2.32,70.23,0,63.32,48.0,-90.9,0.53
TSLA,Consumer Cyclical,0.0% (Skip),C (Avoid/Sell),37.7,6.02,Hold,Mean: $17.65 (0% Win),13.68,1.9,0.38,0.61,-26.47,-15.02,Yes,-8.3%,5.0,4.4,6.7,10.0,4.0,25.5,18.05,5.11,2.75,4.62,3.92,✅ Pass (Growth Waiver),-9.76,-8.81,0.79,6.56,0.43,-13.92,2.16,0.18,0.0,334.19,4.35,131.28,0,9.91,56.0,-73.63,0.0
U,Technology,0.0% (Skip),C (Avoid/Sell),35.4,5.24,Hold weak / Watch,Mean: $7.63 (0% Win),13.29,2.02,0.36,0.56,-22.77,-29.8,No,28.8%,5.0,2.9,8.7,10.0,1.0,23.9,71.07,-25.9,-5.89,-12.44,-6.92,✅ Pass (Growth Waiver),-20.2,-1.11,0.28,21.68,2.2,-41.24,1.84,0.69,1.23,,,126.28,0,5.54,44.0,-93.07,0.24
PATH,Technology,0.0% (Skip),C (Avoid/Sell),30.1,7.36,Buy,Mean: $11.95 (8% Win),14.0,1.66,0.08,0.12,-3.65,-73.22,Yes,3.7%,9.0,4.2,10.0,10.0,5.5,13.4,83.58,3.52,8.88,13.56,1.64,❌ Fail (Value Trap),-12.36,-0.26,0.48,21.87,5.05,-29.07,2.48,0.04,0.0,19.99,0.49,31.28,0,3426.86,35.0,-83.69,0.13
CRSP,Healthcare,0.0% (Skip),C (Avoid/Sell),29.8,3.93,Avoid,Mean: $0.00 (0% Win),14.31,1.84,0.31,0.57,-24.0,-32.43,No,6.1%,5.0,2.0,4.7,7.5,0.5,1041.4,-14.67,,-25.67,-30.26,-31.64,✅ Pass (Growth Waiver),-45.95,-0.88,0.06,,-6.78,-15.73,13.32,0.11,,,,-7.58,0,-172.03,30.0,-74.21,0.39
DKNG,Consumer Cyclical,0.0% (Skip),C (Avoid/Sell),9.7,4.41,Avoid,Mean: $5.83 (0% Win),10.6,1.37,-0.08,-0.12,-63.63,-79.42,Yes,-17.7%,0.0,4.9,8.7,5.0,3.5,-4.6,39.26,-0.26,0.08,0.59,-0.51,❌ Fail (Value Trap),-11.11,-0.27,1.14,8.4,4.71,-56.07,1.03,2.99,6.21,,0.05,95.5,0,6.04,35.0,-81.98,0.04
