Ticker,Sector,Target Allocation (%),Master Grade,Conviction Score (0-100),S.A.F.E. Score (1-10),Final Rating,MC DCF Model,Live WACC (%),Beta (3-Yr),Sharpe Ratio,Sortino Ratio,1-Yr Alpha vs RSP (%),3-Yr Alpha vs RSP (%),Profitable (TTM),Price vs 200-SMA,P1: Growth,P2: Profit/Eff,P3: Cash Flow,P4: Health,P5: Value/Yield,Rev Growth (%),Gross Margin (%),Operating Margin (%),ROA (%),ROE (%),ROIC (%),Passes Dual-Hurdle,ROIC-WACC Spread (%),EVA ($B),Asset Turnover,FCF Margin (%),FCF Yield (%),Accrual Quality,Current Ratio,Debt/Equity,Net Debt/EBITDA,P/E Ratio,PEG Ratio,EV/EBITDA,Div Yield (%),Crisis Value ($),Backtest Win Rate (%),Max Drawdown (%),NLP Sentiment (-1 to 1)
AMT,Real Estate,8.0%,A (Buy),71.3,7.0,Buy,Mean: $231.06 (100% Win),7.0,0.45,0.05,0.07,-20.25,-42.73,Yes,-0.8%,7.0,6.0,10.0,4.0,8.0,4.7,74.39,46.31,4.0,69.25,10.41,✅ Pass,3.41,1.39,0.16,35.54,4.67,-12.86,0.4,12.31,6.17,23.93,1.64,18.57,401.0,91.88,25.0,-43.81,0.22
PSA,Real Estate,8.0%,B (Hold),69.9,7.5,Strong Buy,Mean: $327.71 (84% Win),8.93,0.91,0.21,0.32,-5.13,-28.03,Yes,1.1%,7.0,6.0,10.0,7.0,7.5,3.3,73.53,46.86,8.83,19.29,11.1,✅ Pass,2.17,0.33,0.23,60.05,5.23,-17.85,0.75,1.11,2.89,28.25,3.97,19.32,405.0,120.02,22.0,-37.93,0.11
CCI,Real Estate,0.0% (Skip),C (Avoid/Sell),55.7,5.13,Hold weak / Watch,Mean: $80.69 (90% Win),7.0,0.58,-0.2,-0.3,-31.22,-63.15,Yes,-10.7%,0.0,4.7,10.0,3.5,7.5,-4.9,74.29,48.92,3.5,,9.06,✅ Pass (Sector Waiver),2.06,0.47,0.13,67.42,9.0,-16.42,0.26,,10.95,29.82,0.57,19.87,582.0,-22.48,21.0,-55.8,0.05
PLD,Real Estate,0.0% (Skip),C (Avoid/Sell),44.9,6.84,Buy,Mean: $112.09 (3% Win),9.4,1.21,0.2,0.28,6.9,-29.54,Yes,-0.6%,9.0,4.9,9.3,6.0,5.0,12.3,74.81,38.84,3.37,6.26,3.66,✅ Pass (Sector Waiver),-5.73,-5.06,0.09,56.98,3.82,-5.41,0.91,0.67,5.13,30.03,117.38,24.58,317.0,35.2,32.0,-43.3,0.44
EQIX,Real Estate,0.0% (Skip),C (Avoid/Sell),38.5,5.97,Hold,Mean: $440.03 (0% Win),8.48,0.84,0.41,0.59,18.98,-7.79,Yes,5.8%,9.0,4.7,4.7,5.5,6.0,16.7,49.52,21.33,3.36,9.54,5.32,✅ Pass (Sector Waiver),-3.16,-1.05,0.24,-4.34,-0.4,-20.14,1.32,1.61,4.63,65.81,2.88,27.13,202.0,-257.42,40.0,-40.23,0.13
