Ticker,Sector,Target Allocation (%),Master Grade,Conviction Score (0-100),S.A.F.E. Score (1-10),Final Rating,MC DCF Model,Live WACC (%),Beta (3-Yr),Sharpe Ratio,Sortino Ratio,1-Yr Alpha vs RSP (%),3-Yr Alpha vs RSP (%),Profitable (TTM),Price vs 200-SMA,P1: Growth,P2: Profit/Eff,P3: Cash Flow,P4: Health,P5: Value/Yield,Rev Growth (%),Gross Margin (%),Operating Margin (%),ROA (%),ROE (%),ROIC (%),Passes Dual-Hurdle,ROIC-WACC Spread (%),EVA ($B),Asset Turnover,FCF Margin (%),FCF Yield (%),Accrual Quality,Current Ratio,Debt/Equity,Net Debt/EBITDA,P/E Ratio,PEG Ratio,EV/EBITDA,Div Yield (%),Crisis Value ($),Backtest Win Rate (%),Max Drawdown (%),NLP Sentiment (-1 to 1)
STLD,Basic Materials,8.0%,B (Hold),68.3,9.49,Elite / Top-Tier,Mean: $80.14 (0% Win),11.01,1.31,0.9,1.49,56.39,95.36,Yes,10.3%,10.0,5.6,6.0,10.0,8.0,33.4,16.95,8.8,7.22,13.24,9.65,✅ Pass (Growth Waiver),-1.36,-0.18,1.18,2.76,1.49,-10.64,3.06,0.47,1.29,21.37,11.95,14.02,90.0,18.82,70.0,-32.2,0.49
RS,Basic Materials,8.0%,B (Hold),65.0,9.99,Elite / Top-Tier,Mean: $181.78 (0% Win),10.85,1.03,0.47,0.69,23.83,0.4,Yes,11.4%,10.0,5.8,7.3,10.0,8.5,26.5,29.72,7.02,7.13,10.31,8.94,✅ Pass (Growth Waiver),-1.92,-0.16,1.39,3.52,2.52,-9.54,4.88,0.24,0.98,22.67,2.29,14.0,128.0,66.84,49.0,-22.32,0.49
COP,Energy,7.2%,A+ (High Conviction Buy),85.7,10.54,Elite / Top-Tier,Mean: $144.81 (75% Win),8.53,0.67,0.16,0.22,31.61,-34.18,Yes,16.1%,10.0,5.3,9.3,8.0,9.5,35.5,29.07,19.24,6.55,12.39,8.21,✅ Pass (Growth Waiver),-0.31,-0.27,0.5,12.29,4.57,-27.91,1.3,0.36,0.63,17.46,1.12,6.5,255.0,91.25,27.0,-36.3,0.36
CVX,Energy,6.7%,B (Hold),68.1,9.92,Elite / Top-Tier,Mean: $193.58 (26% Win),8.2,0.55,0.41,0.52,23.24,-9.65,Yes,15.6%,10.0,4.0,8.7,8.0,9.0,53.5,30.17,9.04,3.8,6.6,4.67,✅ Pass (Growth Waiver),-3.53,-7.97,0.68,9.0,4.04,-17.7,1.15,0.22,0.68,20.16,0.93,8.79,340.0,428.86,49.0,-24.95,0.18
XOM,Energy,5.8%,B (Hold),63.9,9.96,Elite / Top-Tier,Mean: $131.76 (2% Win),7.94,0.43,0.52,0.75,33.84,2.12,Yes,12.5%,10.0,5.3,8.0,8.0,8.5,44.1,23.26,10.48,6.42,11.12,7.89,✅ Pass (Growth Waiver),-0.04,-0.13,0.78,7.29,3.51,-14.97,1.15,0.17,0.48,21.05,1.4,10.46,252.0,104.27,47.0,-20.51,0.27
EOG,Energy,5.4%,B (Hold),65.8,11.72,Elite / Top-Tier,Mean: $179.05 (94% Win),8.25,0.57,0.22,0.31,12.28,-27.36,Yes,11.6%,10.0,6.9,10.0,10.0,10.0,58.7,67.84,32.11,9.61,16.69,15.02,✅ Pass,6.77,2.55,0.48,15.28,4.56,-30.56,1.63,0.28,0.35,11.22,1.37,5.45,283.0,116.67,41.0,-33.42,0.09
NUE,Basic Materials,0.0% (Skip),C (Avoid/Sell),57.0,9.15,Elite / Top-Tier,Mean: $169.67 (6% Win),10.54,1.31,0.51,0.76,73.56,12.2,Yes,18.3%,10.0,4.4,4.7,10.0,9.0,23.0,16.13,8.18,4.97,8.33,7.59,✅ Pass (Growth Waiver),-2.95,-0.82,0.94,-0.58,-0.33,-17.33,2.94,0.34,0.86,19.84,5.21,10.9,90.0,-32.3,60.0,-47.79,-0.09
FCX,Basic Materials,0.0% (Skip),C (Avoid/Sell),53.7,8.07,Strong Buy,Mean: $22.25 (0% Win),12.03,1.68,0.6,0.83,47.08,39.89,Yes,15.2%,5.0,5.1,6.0,10.0,7.5,-7.3,29.8,25.09,3.79,11.66,14.98,✅ Pass,2.95,0.83,0.45,4.31,1.09,-21.95,2.29,0.56,0.7,35.07,4.47,12.68,84.0,1.34,67.0,-51.26,0.31
AA,Basic Materials,0.0% (Skip),C (Avoid/Sell),41.6,9.81,Elite / Top-Tier,Mean: $43.66 (45% Win),12.54,1.88,0.48,0.77,23.0,10.47,Yes,-23.3%,10.0,4.9,8.0,8.0,10.0,31.4,13.5,5.91,7.17,18.91,6.99,✅ Pass (Growth Waiver),-5.55,-0.48,0.8,4.42,4.84,-9.01,1.44,0.44,0.48,9.24,8.36,5.48,90.0,27.57,53.0,-75.46,-0.17
